type,stock_locate,tracking_number,timestamp,org_order_ref_number,new_order_ref_number,shares,price
U,7397,0,25215036745341,480,572,500,300.8
U,7397,0,25215046036437,236,576,500,300.71
U,7397,0,25215046069642,256,580,500,300.66
U,7397,0,25224474238146,580,676,500,300.81
U,7397,0,25242637841363,756,760,500,300.78
U,7397,0,25251143480328,768,832,500,300.78
U,7397,0,25258761989629,840,864,500,300.78
U,7397,0,25262556007038,872,924,500,300.78
U,7397,0,25284334997535,1156,1164,500,300.76
U,7397,0,25297092525120,1180,1332,500,300.76
U,7397,0,25340061963553,932,1680,500,300.78
U,7397,0,25350755052374,684,1852,500,300.81
U,7397,0,25351161506106,1860,1864,500,300.81
U,7397,0,25353468644238,1908,1912,500,300.81
U,7397,0,25366145154993,1920,2292,500,300.81
U,7397,0,25366832355691,2300,2304,500,300.79
U,7397,0,25380823035265,2512,2520,500,300.78
U,7397,0,25393011914348,2476,2984,500,300.81
U,7397,0,25397602532554,3064,3072,500,300.81
U,7397,0,25434692986434,4472,4508,500,300.76
U,7397,0,25435605604929,4576,4600,500,300.76
U,7397,0,25436209086849,4644,4656,500,300.76
U,7397,0,25438877980610,4696,4712,500,300.76
U,7397,0,25450605035989,5200,5204,500,300.72
U,7397,0,25450806006224,5204,5224,500,300.73
U,7397,0,25452048592599,5312,5324,500,300.72
U,7397,0,25453329574834,5328,5336,500,300.73
U,7397,0,25455950750318,5476,5500,500,300.73
U,7397,0,25470564340681,5524,6072,500,300.73
U,7397,0,25471176244139,6120,6128,500,300.73
U,7397,0,25477323031343,6340,6356,500,300.71
U,7397,0,25479282965225,6132,6444,500,300.73
U,7397,0,25482412604958,6640,6664,500,300.72
U,7397,0,25483922361025,6664,6832,500,300.73
U,7397,0,25488036343239,6912,6936,500,300.73
U,7397,0,25490577456273,6964,6968,500,300.72
U,7397,0,25514724977447,4796,7316,500,300.76
U,7397,0,25517584344164,7760,7820,500,300.71
U,7397,0,25523386621607,7604,7924,500,300.73
U,7397,0,25528049088607,8040,8048,500,300.73
U,7397,0,25531240748710,8140,8156,500,300.72
U,7397,0,25531464552768,8156,8176,500,300.73
U,7397,0,25574551775569,8188,8944,500,300.73
U,7397,0,25612433301595,8996,9700,500,300.73
U,7397,0,25612861939119,9764,9768,500,300.73
U,7397,0,25619843186193,9964,10124,500,300.73
U,7397,0,25623244296323,10160,10212,500,300.73
U,7397,0,25635762171432,10272,10440,500,300.73
U,7397,0,25655632869121,7556,10776,500,300.76
U,7397,0,25656139302524,10804,10808,500,300.74
U,7397,0,25681547350263,9404,11792,500,300.7
U,7397,0,25681547373791,3076,11796,500,300.65
U,7397,0,25681547392227,10984,11800,500,300.6
U,7397,0,25682090480338,11808,11820,500,300.73
U,7397,0,25696465669230,11800,12044,500,300.75
U,7397,0,25697425337401,12084,12092,500,300.75
U,7397,0,25699056206607,12100,12124,500,300.74
